,tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,Unnamed: 9,totpop16,pop24_16,NHW16,A20_34y16,College16,mdfami16,mdrent16,Unnamed: 17,NHW00_16,A20_34y00_16,College00_16,mdfami00_16,mdrent00_16,Unnamed: 23,scores_raw,score_0.025,score_0.5,score_0.975,Unnamed: 28,medprice04,medpr_unit04,medpr_sf04,medprice15,medpr_unit15,medpr_sf15,medpr_sf15_IA,sales04,sales15,Status_NYC
1846,36081085300,Flushing,5861,4306,540.0,1379,1303.0,31960,841,,4395,3642,129,1000,794,36761,1423,,-0.681427127,-0.032950787,-0.28,0.150219024,0.692033294,,-2.083550983,-3.009311513,-2.087367192,-1.195379565,,827482.5,272331.165,223.715,5550000.0,593333.333,292.76,229.0,14.0,5.0,High to High
1847,36081085500,Flushing,7135,5070,934.0,1746,1236.0,36297,772,,6704,5046,376,1103,1196,37950,1287,,-0.571549217,-0.327656447,-0.028,0.045540954,0.667098446,,-2.313192408,-3.018084221,-2.020664739,-1.023840493,,4475000.0,59316.04,58.905,8475000.0,228035.1235,278.025,217.0,8.0,4.0,Low to Low
1848,36081085700,Flushing,6207,4396,947.0,1237,1072.0,31431,779,,5532,4291,245,1108,871,36806,1335,,-0.709720959,0.005008268,-0.168,0.171009513,0.713735558,,-1.828794056,-2.940444303,-1.983762952,-1.043230147,,532500.0,235000.0,227.135,1585000.0,438666.6665,381.11,297.5,6.0,8.0,High to High
1849,36081085900,Flushing,4911,3491,1010.0,1073,1146.0,40000,744,,5118,3932,501,1166,873,36441,1290,,-0.524022959,0.042721866,-0.324,-0.088975,0.733870968,,-2.195644664,-3.306896752,-2.296749693,-1.302673931,,700000.0,355000.0,259.03,1200000.0,475250.0,349.32,273.0,31.0,17.0,High to High
1850,36081086100,East Flushing,2500,1776,635.0,642,468.0,39667,802,,2168,1713,165,418,394,37826,1253,,-0.700366098,-0.249203941,-0.127,-0.046411375,0.56234414,,-2.74326636,-3.162386837,-2.28777428,-1.42178098,,555000.0,311250.0,273.815,1300000.0,669000.0,494.69,386.0,20.0,13.0,High to High
1851,36081086300,Murray Hill,7207,5039,849.0,1839,1146.0,36714,803,,6598,5325,381,1786,1065,48625,1321,,-0.509815588,0.060820579,-0.121,0.324426649,0.645080946,,-1.356787347,-2.707521556,-1.757239684,-0.802353213,,860000.0,56190.48,56.84,1850000.0,616666.667,510.95,399.0,11.0,5.0,Low to High
1852,36081086400,South Ozone Park,2496,1596,831.0,575,252.0,63750,823,,2842,2000,365,847,438,57069,1469,,-0.614244303,0.293707432,0.387,-0.1048,0.784933171,,-1.039700401,-1.50684036,-0.736995946,0.020430709,,350000.0,255000.0,221.43,477000.0,308500.0,266.96,209.0,111.0,63.0,High to Low
1853,36081086500,Flushing,4156,3295,935.0,815,866.0,30189,850,,4561,3987,495,1048,921,35917,1485,,-0.51759805,0.171707313,-0.121,0.189737984,0.747058824,,-1.245255903,-2.528002351,-1.60546502,-0.673498615,,810000.0,70909.09,78.34,1750000.0,583333.3335,579.085,452.5,7.0,2.0,Low to High
1854,36081086900,Flushing,1548,963,32.0,328,336.0,46035,920,,2053,1584,56,589,320,32125,1596,,0.319532392,0.354014945,-0.421,-0.302161399,0.734782609,,-1.986291943,-2.645012299,-1.618225779,-0.596293778,,469000.0,225833.335,254.445,615000.0,376250.0,451.73,353.0,16.0,4.0,High to High
1855,36081087100,Flushing,1870,1256,172.0,398,184.0,30115,533,,2263,1532,103,585,308,39851,753,,-0.505158824,0.214590407,0.372,0.32329404,0.412757974,,-0.974179591,-2.580618383,-1.56005183,-0.549730557,,900000.0,250000.0,314.32,987500.0,486250.0,621.4,485.5,7.0,6.0,High to High
1856,36081088400,Lindenwood-Howard Beach,7619,5580,6972.0,1637,961.0,67524,853,,7226,5459,5565,1154,1119,87640,1710,,-0.15839597,-0.256711958,0.19,0.297908892,1.004689332,,-0.826134005,-1.570118535,-0.650760384,0.266302507,,415000.0,296250.0,248.06,460000.0,304080.0,256.55,200.0,260.0,206.0,High to Low
1857,36081088901,Flushing,8595,6612,3371.0,1619,1471.0,44283,547,,10835,8161,2177,2321,2383,45047,1245,,-0.487709099,0.137222011,0.313,0.01725267,1.276051188,,-0.379241441,-1.875019069,-0.932634028,0.010875942,,617500.0,280000.0,258.14,802500.0,445000.0,354.05,276.5,81.0,40.0,High to High
